url,doc_id,title,audience,department,category,language,document_version,license_or_permission
https://hssv.ulis.vnu.edu.vn/files/uploads/2025/03/MỚI-2024_10_4_QUY-DINH-VE-HOC-BONG.pdf,vnu-scholarship-management-regulation,Quy định công tác quản lý và sử dụng học bổng tại ĐHQGHN,student,student-affairs,scholarship-policy,vi,4618/QD-DHQGHN-2024-10-07,public-source
https://student.ulis.vnu.edu.vn/files/uploads/2026/03/Signed.Signed.Signed.Thong-bao-HB-25-26.pdf,ulis-kkht-notice-2025-2026,Thông báo xét học bổng khuyến khích học tập năm học 2025-2026 (ULIS),student,student-affairs,scholarship-announcement,vi,2025-2026,public-source
https://ysip.vnu.edu.vn/uploaded/Thong-bao-3807-hoc-bong-sau-dai-hoc-ngay-26-thang-11-nam-2021.pdf,vnu-phd-postdoc-scholarship-2021,Thông báo xét cấp học bổng ĐHQGHN cho nghiên cứu sinh và thực tập sinh sau tiến sĩ,postgraduate,postgraduate-affairs,scholarship-postgraduate,vi,2021,public-source
https://ts.hust.edu.vn/tin-tuc/quy-dinh-xet-duyet-va-cap-hoc-bong-cho-hoc-vien-cao-hoc-nghien-cuu-sinh-ap-dung-tu-nam-2022-2023,hust-postgrad-scholarship-2022,Quy định xét duyệt và cấp học bổng cho học viên cao học và nghiên cứu sinh (ĐH Bách khoa Hà Nội),postgraduate,graduate-admissions,scholarship-postgraduate,vi,2022-2023,public-source
https://www.hust.edu.vn/uploads/sys/quality-assurance/2019/05/be-08-04-08.389223.20918.pdf,hust-scholarship-overview-2017,Thông tin chính sách học bổng ĐH Bách khoa Hà Nội (khóa K62),applicant,admissions,scholarship-admission,vi,2017,public-source
https://hunre.edu.vn/download/news/2025/07/04/142718_1872--=pl__30062025103244_signed.pdf,hunre-kkht-social-support-regulation,Quy định học bổng khuyến khích học tập trợ cấp xã hội và hỗ trợ chi phí học tập (ĐH Tài nguyên và Môi trường HN),student,student-affairs,scholarship-policy,vi,2025,public-source
https://dsa.ctu.edu.vn/images/upload/vbanply/2025/HBKK/3530_29-7-2025_qd_dinhmuchocbong_251signedsignedsignedsigned.pdf,ctu-kkht-rates-2025-2026,Quyết định định mức học bổng khuyến khích học tập từ HK1 2025-2026 (ĐH Cần Thơ),student,student-affairs,scholarship-amount,vi,2025-07,public-source
https://www.tueba.edu.vn/uploads/2020/Các-hình-thức-học-bổng-1297379728.pdf,tueba-scholarship-types,Các hình thức học bổng sinh viên được hưởng (ĐH Kinh tế và QTKD),student,student-affairs,scholarship-policy,vi,not-stated,public-source
https://sta.htu.edu.vn/attachments/article/174/Quy%20dinh%20HB%20tai%20tro.pdf,htu-study-promotion-fund,Quy định xây dựng quản lý Quỹ học bổng khuyến học (ĐH Hà Tĩnh),student,student-affairs,scholarship-fund,vi,2012-04-10,public-source
https://myisb.isb.edu.vn/Files/Giaotrinh/QUYDINH_ChinhsachHocbongBBusFinal21.5.2021-Webisb.pdf,isb-bbus-scholarship-policy,Quy định chính sách học bổng Chương trình Cử nhân tài năng (ISB - UEH),student,international-school-of-business,scholarship-policy,vi,2021-05-21,public-source
